Andhra Pradesh,WEST GODAVARI,Maize,2002-03,Kharif,1457,Hectare,1412,Tonnes,0.969114619
Andhra Pradesh,WEST GODAVARI,Maize,2002-03,Rabi,16683,Hectare,119534,Tonnes,7.165018282
Andhra Pradesh,WEST GODAVARI,Maize,2003-04,Kharif,3124,Hectare,5361,Tonnes,1.716069142
Andhra Pradesh,WEST GODAVARI,Maize,2003-04,Rabi,24694,Hectare,142855,Tonnes,5.785008504
Andhra Pradesh,CHITTOOR,Mesta,2001-02,Kharif,5,Hectare,43,Bales,8.6
Andhra Pradesh,CHITTOOR,Mesta,2002-03,Kharif,4,Hectare,30,Bales,7.5
Andhra Pradesh,CHITTOOR,Mesta,2003-04,Kharif,2,Hectare,16,Bales,8
Andhra Pradesh,EAST GODAVARI,Mesta,2001-02,Kharif,4,Hectare,34,Bales,8.5
Andhra Pradesh,EAST GODAVARI,Mesta,2002-03,Kharif,2,Hectare,15,Bales,7.5
Andhra Pradesh,EAST GODAVARI,Mesta,2003-04,Kharif,2,Hectare,16,Bales,8
Andhra Pradesh,KURNOOL,Mesta,2001-02,Kharif,120,Hectare,1021,Bales,8.508333333
Andhra Pradesh,KURNOOL,Mesta,2002-03,Kharif,86,Hectare,650,Bales,7.558139535
Andhra Pradesh,MAHBUBNAGAR,Mesta,2001-02,Kharif,75,Hectare,638,Bales,8.506666667
Andhra Pradesh,MAHBUBNAGAR,Mesta,2002-03,Kharif,39,Hectare,295,Bales,7.564102564
Andhra Pradesh,MAHBUBNAGAR,Mesta,2003-04,Kharif,39,Hectare,310,Bales,7.948717949
Andhra Pradesh,MEDAK,Mesta,2001-02,Kharif,33,Hectare,281,Bales,8.515151515
Andhra Pradesh,MEDAK,Mesta,2002-03,Kharif,13,Hectare,98,Bales,7.538461538
Andhra Pradesh,MEDAK,Mesta,2003-04,Kharif,78,Hectare,620,Bales,7.948717949
Andhra Pradesh,NALGONDA,Mesta,2001-02,Kharif,4,Hectare,34,Bales,8.5
Andhra Pradesh,NIZAMABAD,Mesta,2001-02,Kharif,29,Hectare,238,Bales,8.206896552
Andhra Pradesh,NIZAMABAD,Mesta,2002-03,Kharif,88,Hectare,665,Bales,7.556818182
Andhra Pradesh,PRAKASAM,Mesta,2002-03,Kharif,1,Hectare,8,Bales,8
Andhra Pradesh,RANGAREDDI,Mesta,2002-03,Kharif,1,Hectare,8,Bales,8
Andhra Pradesh,SRIKAKULAM,Mesta,2001-02,Kharif,18836,Hectare,124945,Bales,6.633308558
Andhra Pradesh,SRIKAKULAM,Mesta,2002-03,Kharif,19221,Hectare,107958,Bales,5.616669268
Andhra Pradesh,SRIKAKULAM,Mesta,2003-04,Kharif,12828,Hectare,80674,Bales,6.288899283
Andhra Pradesh,VISAKHAPATANAM,Mesta,2001-02,Kharif,307,Hectare,2611,Bales,8.504885993
Andhra Pradesh,VISAKHAPATANAM,Mesta,2002-03,Kharif,194,Hectare,1467,Bales,7.56185567
Andhra Pradesh,VISAKHAPATANAM,Mesta,2003-04,Kharif,22,Hectare,175,Bales,7.954545455
Andhra Pradesh,VIZIANAGARAM,Mesta,2001-02,Kharif,59501,Hectare,541459,Bales,9.099998319
Andhra Pradesh,VIZIANAGARAM,Mesta,2002-03,Kharif,61520,Hectare,502413,Bales,8.166661248
Andhra Pradesh,VIZIANAGARAM,Mesta,2003-04,Kharif,46206,Hectare,388387,Bales,8.405553391
Andhra Pradesh,WARANGAL,Mesta,2001-02,Kharif,28,Hectare,238,Bales,8.5
Andhra Pradesh,ADILABAD,Moong(Green Gram),2001-02,Kharif,18262,Hectare,3378,Tonnes,0.184974263
Andhra Pradesh,ADILABAD,Moong(Green Gram),2001-02,Rabi,3591,Hectare,1095,Tonnes,0.304928989
Andhra Pradesh,ADILABAD,Moong(Green Gram),2002-03,Kharif,17258,Hectare,5212,Tonnes,0.302004867
Andhra Pradesh,ADILABAD,Moong(Green Gram),2002-03,Rabi,2589,Hectare,660,Tonnes,0.254924681
Andhra Pradesh,ADILABAD,Moong(Green Gram),2003-04,Kharif,16589,Hectare,2654,Tonnes,0.159985533
Andhra Pradesh,ADILABAD,Moong(Green Gram),2003-04,Rabi,4414,Hectare,1492,Tonnes,0.338015406
Andhra Pradesh,ANANTAPUR,Moong(Green Gram),2001-02,Kharif,1511,Hectare,730,Tonnes,0.483123759
Andhra Pradesh,ANANTAPUR,Moong(Green Gram),2001-02,Rabi,40,Hectare,12,Tonnes,0.3
Andhra Pradesh,ANANTAPUR,Moong(Green Gram),2002-03,Kharif,1150,Hectare,174,Tonnes,0.151304348
Andhra Pradesh,ANANTAPUR,Moong(Green Gram),2002-03,Rabi,4,Hectare,1,Tonnes,0.25
Andhra Pradesh,ANANTAPUR,Moong(Green Gram),2003-04,Kharif,1216,Hectare,662,Tonnes,0.544407895
Andhra Pradesh,ANANTAPUR,Moong(Green Gram),2003-04,Rabi,22,Hectare,7,Tonnes,0.318181818
Andhra Pradesh,CHITTOOR,Moong(Green Gram),2001-02,Kharif,225,Hectare,109,Tonnes,0.484444444
Andhra Pradesh,CHITTOOR,Moong(Green Gram),2001-02,Rabi,82,Hectare,25,Tonnes,0.304878049
